"storeLocation","customer.gender","customer.age","customer.email","customer.satisfaction","couponUsed","purchaseMethod"
"Denver",F,61,uraluc@tih.qa,4,FALSE,"In store"
"Denver",M,29,el@negfogor.so,4,FALSE,"In store"
"Austin",M,58,alne@imjip.nl,1,FALSE,"In store"
"New York",F,39,fip@ruc.cg,5,FALSE,"Phone"
"Denver",M,32,kamavbe@pojki.dj,5,FALSE,"Online"
"Denver",F,33,et@ceidoom.gf,4,FALSE,"Phone"
"Denver",F,54,mar@odmebulo.mr,2,FALSE,"In store"
"Seattle",M,36,zaij@igotes.az,5,FALSE,"Phone"
"Denver",F,43,uscugik@gofoh.pm,1,FALSE,"Online"
"Seattle",M,40,tel@hasusal.om,4,TRUE,"In store"
"Austin",F,71,semopun@upokoor.vi,5,FALSE,"In store"
"Denver",M,39,jomdel@zapegrab.at,5,FALSE,"Online"
"Denver",M,48,logoku@ci.pa,1,FALSE,"Online"
"Seattle",M,44,ijebgu@ewo.gl,5,FALSE,"Online"
"Denver",F,25,ovi@da.pm,3,TRUE,"Online"
"San Diego",F,56,ecebah@so.ge,5,FALSE,"In store"
"Austin",F,61,uranozi@ze.sc,4,FALSE,"In store"
"London",F,40,fu@bolav.kn,5,FALSE,"Phone"
"London",M,28,lo@bakeve.sh,4,FALSE,"Online"
"Denver",M,60,gihpewe@imaawu.ss,5,FALSE,"Online"
"London",F,41,rok@bejfefwo.gi,5,FALSE,"Online"
"Denver",M,35,tiagpi@ag.pe,5,FALSE,"In store"
"London",M,46,mavap@pifonli.eh,3,FALSE,"In store"
"Seattle",M,36,jigucun@wabekbor.nc,4,FALSE,"In store"
"Seattle",M,43,jul@orusos.mn,5,FALSE,"In store"
"New York",F,25,liftomge@zunefa.sm,3,FALSE,"Online"
"Denver",F,50,wahevju@tihhak.lc,5,FALSE,"Phone"
"London",F,35,ujci@jumpu.as,5,FALSE,"Online"
"Denver",F,27,hi@cipo.sd,1,FALSE,"Online"
"London",M,75,huit@vebvodco.to,5,FALSE,"In store"
"New York",F,30,jivo@sujurew.as,4,FALSE,"In store"
"Denver",M,49,nuctubef@nijfopwo.ge,3,FALSE,"In store"
"Denver",F,39,not@gepo.ad,5,FALSE,"In store"
"Denver",M,46,zojozeke@jej.kw,1,FALSE,"Online"
"Seattle",M,54,oke@bisubo.ht,5,FALSE,"Online"
"Seattle",M,57,hocezec@tubot.ac,4,FALSE,"Online"
"New York",F,32,wu@wus.cm,5,FALSE,"In store"
"Seattle",M,30,akeci@iszuhje.uy,4,FALSE,"Online"
"London",F,20,ana@ja.tp,5,FALSE,"In store"
"Seattle",M,50,el@sauf.sn,4,FALSE,"In store"
"Seattle",F,74,tih@rohugu.zm,5,FALSE,"In store"
"Denver",F,59,tuho@gebof.do,3,FALSE,"Online"
"Denver",F,65,varpa@gud.cv,4,FALSE,"In store"
"Denver",M,40,hez@juepi.pr,4,FALSE,"In store"
"Denver",F,50,uveifivoj@bib.mg,4,FALSE,"In store"
"Seattle",F,31,kize@fisme.do,5,FALSE,"In store"
"Denver",M,56,erko@osdow.tc,5,FALSE,"Online"
"Denver",M,52,ridfaew@jug.tt,1,FALSE,"Online"
"Seattle",F,74,tekozac@dem.in,4,FALSE,"In store"
"New York",M,18,belkes@lomobanav.ug,4,FALSE,"In store"
"Seattle",M,56,iz@ino.pw,2,FALSE,"Phone"
"London",F,34,anieti@conmu.cw,4,FALSE,"In store"
"Seattle",F,17,zohen@niwkal.pl,1,FALSE,"Online"
"Denver",F,52,ujadeh@kawpeba.se,4,FALSE,"In store"
"Denver",F,60,lidal@nolivtak.km,4,FALSE,"Online"
"Seattle",M,46,zebtool@marod.ca,2,FALSE,"In store"
"Seattle",M,66,fohzovivo@mebubzut.co,4,FALSE,"In store"
"Austin",F,58,bivsemut@kuloki.mv,4,FALSE,"Online"
"Denver",F,47,bajucsi@madiw.bd,5,FALSE,"Phone"
"Denver",M,39,ejawiimo@puaj.uz,5,FALSE,"Online"
"Seattle",F,34,ukcu@wepa.bh,4,FALSE,"In store"
"Denver",M,22,co@tuhow.gb,3,FALSE,"Online"
"Seattle",F,25,pilruzji@uvofo.nc,5,FALSE,"Online"
"Austin",M,57,silwase@wodvi.de,3,FALSE,"In store"
"London",M,70,pol@job.bb,4,FALSE,"Phone"
"Austin",M,59,fag@uv.mw,5,FALSE,"Online"
"Denver",M,60,fekek@newo.et,5,FALSE,"In store"
"Seattle",M,20,iloldiz@afikuram.bh,4,FALSE,"Online"
"London",F,19,gi@binvozfo.at,4,TRUE,"In store"
"Denver",M,36,sal@bazi.sr,2,TRUE,"In store"
"Denver",M,34,rav@gabnaaza.pt,5,FALSE,"In store"
"Denver",F,28,wukdamit@mev.bb,3,FALSE,"In store"
"New York",M,46,nozod@zo.ke,4,TRUE,"In store"
"Austin",F,61,ajfor@re.ps,1,FALSE,"Online"
"San Diego",M,28,ziojeza@pujbudehe.mp,2,FALSE,"In store"
"Austin",M,56,rutiro@tedrag.ly,5,TRUE,"Online"
"Austin",M,19,daw@tizzecnu.ar,4,FALSE,"In store"
"Denver",F,42,darma@zazfewsa.ck,4,FALSE,"Phone"
"Denver",F,41,ziwaffa@hij.et,1,FALSE,"In store"
"Seattle",M,38,lapu@kuvad.co.uk,5,FALSE,"Online"
"Denver",F,39,fufa@zulpaplid.kh,4,FALSE,"Online"
"Denver",M,50,docow@usuiwu.pr,4,FALSE,"In store"
"Denver",F,50,das@ja.si,5,FALSE,"In store"
"Seattle",M,26,zowuhkuz@mob.eu,4,FALSE,"In store"
"Austin",F,56,ziakigu@ju.gi,1,TRUE,"Phone"
"Seattle",M,45,ci@juk.mh,5,FALSE,"In store"
"Denver",M,52,tam@punatvin.la,5,FALSE,"Online"
"Seattle",M,16,bahigud@eli.co,5,TRUE,"Phone"
"Seattle",F,43,armotrez@vug.ck,4,FALSE,"Phone"
"London",F,43,sis@we.dm,4,FALSE,"In store"
"Austin",M,52,vonlapla@nahpu.im,5,FALSE,"In store"
"Denver",M,55,hegun@kofda.by,4,FALSE,"Online"
"Seattle",M,63,igu@wov.us,3,FALSE,"Phone"
"New York",F,25,mimlebuj@geifdep.rw,5,FALSE,"Online"
"Denver",M,56,vevevnut@homihzo.nl,5,FALSE,"Online"
"New York",F,28,fuwov@bamla.ec,4,FALSE,"In store"
"Seattle",F,49,ewosil@kioda.cn,5,TRUE,"In store"
"Denver",F,42,jevan@di.uz,4,FALSE,"In store"
"Denver",M,75,wuzamfud@sur.mo,3,FALSE,"In store"
"Austin",F,40,guckokit@wohapac.fm,4,FALSE,"In store"
"London",F,43,efego@col.co.uk,5,FALSE,"Phone"
"Austin",F,43,kabkijubo@ge.at,4,FALSE,"In store"
"San Diego",M,45,zincoz@dati.ml,4,FALSE,"Online"
"London",M,47,ujunepi@ucca.fm,4,FALSE,"In store"
"Denver",M,66,invobjo@ijjarzah.cr,4,FALSE,"Online"
"Austin",F,55,owviik@wabri.uz,5,FALSE,"In store"
"San Diego",M,24,usam@ha.dk,5,TRUE,"In store"
"London",M,72,uhotag@tuffigzo.net,3,FALSE,"In store"
"Denver",M,28,hasu@hafaut.lc,3,FALSE,"Phone"
"Austin",F,29,ajajiw@acmoek.az,3,FALSE,"Online"
"Denver",M,46,isotod@nev.gt,4,TRUE,"In store"
"Seattle",M,56,bimze@naw.by,4,FALSE,"Online"
"London",M,48,okeakga@ahojab.hk,4,FALSE,"Online"
"London",F,50,rekogho@tu.mx,4,FALSE,"Online"
"Austin",M,24,ahzac@leb.af,5,FALSE,"Online"
"New York",M,58,feub@wepig.mm,3,TRUE,"In store"
"London",M,47,bamu@jakasi.jm,4,FALSE,"In store"
"Seattle",M,52,rul@ipohu.vi,2,FALSE,"Online"
"Seattle",F,20,wo@gu.tt,4,FALSE,"In store"
"New York",F,58,higilafi@bot.mv,1,FALSE,"Phone"
"Denver",F,38,efakitwih@po.bf,1,FALSE,"Phone"
"Seattle",M,54,wiranow@jaweg.ci,5,FALSE,"In store"
"Denver",F,44,obapoafa@lire.bv,5,FALSE,"In store"
"Seattle",F,27,vumucce@wutu.tk,4,TRUE,"In store"
"London",M,45,daz@ep.gu,4,FALSE,"In store"
"Seattle",M,26,jolufa@delte.iq,2,FALSE,"Online"
"London",M,38,fojfej@cew.tg,5,FALSE,"Online"
"Denver",M,31,evopu@fih.ca,4,FALSE,"Online"
"Denver",M,35,mobow@owba.tn,5,FALSE,"In store"
"Denver",F,52,gebacwu@gipvib.ro,3,FALSE,"Online"
"Austin",F,49,ciwjarba@wu.et,2,FALSE,"In store"
"Denver",M,45,iwame@okibatbij.tp,3,FALSE,"In store"
"London",M,45,vob@zebraska.kg,4,FALSE,"In store"
"London",M,66,fimute@duhadavu.edu,4,FALSE,"In store"
"London",M,29,pebo@icufoaba.edu,5,FALSE,"Phone"
"London",M,44,jici@ejauwe.gi,4,FALSE,"In store"
"Denver",M,21,sopolgi@paja.pa,4,FALSE,"In store"
"New York",F,35,du@huvju.sh,2,FALSE,"In store"
"Denver",M,40,ha@jialtoj.no,3,FALSE,"In store"
"Denver",M,59,vo@tuh.hk,5,FALSE,"In store"
"Denver",F,45,uni@owmemleh.il,1,FALSE,"Online"
"London",F,60,pugha@rewbemo.re,2,FALSE,"Phone"
"Denver",M,40,afala@gueta.bz,1,FALSE,"Phone"
"San Diego",F,58,meleb@en.vn,3,TRUE,"In store"
"Seattle",F,37,ebobuz@zanetzez.lv,2,FALSE,"In store"
"Austin",M,33,fewgowij@agafur.il,3,FALSE,"In store"
"Austin",M,55,heguruc@pidifseh.af,4,TRUE,"In store"
"London",F,63,ce@zoslemu.aw,1,FALSE,"Phone"
"Austin",F,30,jo@cesuh.mh,4,FALSE,"In store"
"Denver",M,57,or@mokhifep.tn,5,FALSE,"Online"
"Austin",M,49,ec@wukces.vc,4,FALSE,"In store"
"Seattle",M,45,togi@liwe.ax,4,TRUE,"In store"
"New York",M,75,jiwdivav@ujcanto.tw,4,FALSE,"Online"
"Denver",F,37,jecrop@cedzam.io,5,FALSE,"In store"
"Austin",M,38,giwid@ge.tz,3,FALSE,"Online"
"San Diego",F,66,itgo@ebbonla.li,1,FALSE,"In store"
"Seattle",M,31,muzuvaf@asuhoh.gb,5,FALSE,"In store"
"New York",F,66,bab@vujkafgur.na,5,FALSE,"In store"
"London",M,73,jahufe@ek.co.uk,3,FALSE,"In store"
"Austin",M,34,tive@zemnuni.no,5,TRUE,"In store"
"New York",M,34,wedeso@tugmoal.ve,5,FALSE,"Online"
"London",F,67,cu@vefepepo.tv,2,FALSE,"In store"
"Denver",F,46,he@orac.mr,5,FALSE,"Online"
"Seattle",M,24,nieli@row.sn,4,FALSE,"In store"
"New York",F,22,puku@icuwod.ua,5,TRUE,"Phone"
"London",M,27,vag@lez.sv,5,FALSE,"Online"
"Seattle",M,59,pufin@zuhdaves.cw,5,TRUE,"In store"
"Denver",M,71,ti@wihvufji.tt,5,FALSE,"In store"
"New York",M,49,jido@ca.com,3,FALSE,"In store"
"London",M,58,vakur@upano.ax,5,FALSE,"Phone"
"Austin",F,40,abezonru@wedse.sc,5,FALSE,"In store"
"Denver",M,39,wunas@bo.ug,4,FALSE,"In store"
"New York",M,32,wobin@fasuj.uy,4,FALSE,"In store"
"New York",M,43,cuzer@di.ml,3,FALSE,"In store"
"London",F,62,fik@pigjitpoz.kw,1,FALSE,"Online"
"Denver",F,61,corbipkik@bu.co,5,FALSE,"In store"
"Seattle",M,21,jeggina@oju.lk,3,FALSE,"Online"
"Denver",M,50,ne@niroham.bf,4,TRUE,"In store"
"London",F,45,bejop@ciroha.sj,5,FALSE,"Online"
"New York",F,17,fe@ava.np,4,TRUE,"Online"
"Austin",M,70,gajoon@pof.tc,5,FALSE,"In store"
"London",F,52,ib@ritodine.bn,3,FALSE,"Online"
"London",M,25,gukoted@taugoeti.hn,5,FALSE,"In store"
"Seattle",M,48,mir@ovagodzin.aq,2,FALSE,"In store"
"Denver",M,74,pok@de.np,4,FALSE,"In store"
"New York",F,27,og@mafe.tc,1,FALSE,"In store"
"Austin",M,45,wufmuhluc@vibve.pf,3,FALSE,"Phone"
"San Diego",M,60,sumre@niz.sl,5,FALSE,"In store"
"London",F,31,pejbagaf@ez.nf,5,FALSE,"In store"
"San Diego",F,29,jijen@tezpini.vi,4,FALSE,"In store"
"Denver",M,64,ovigodi@safnij.nl,5,FALSE,"In store"
"Seattle",F,51,jotrurfo@lijowuvu.mr,5,FALSE,"In store"
"Denver",M,72,joiji@ivwanih.sh,5,FALSE,"In store"
"London",F,72,vekjic@kanasdut.tw,3,FALSE,"Online"
"Seattle",M,50,umcedo@ine.tz,2,FALSE,"In store"
"London",F,60,dohunemi@tuke.ca,3,FALSE,"Online"
"Austin",M,51,fu@rewa.be,5,FALSE,"In store"
"New York",F,25,afuwe@bedbib.uy,5,FALSE,"Online"
"Seattle",F,27,tav@di.cc,5,FALSE,"In store"
"London",F,38,zajow@ha.cm,5,FALSE,"Phone"
"Seattle",F,48,peud@gaf.an,5,FALSE,"Online"
"Seattle",F,28,jekatcan@no.ec,4,TRUE,"In store"
"Denver",M,16,nopran@mawro.tl,2,FALSE,"Online"
"Austin",F,42,sutbo@mew.ht,1,FALSE,"Online"
"Seattle",F,32,sipi@odkiz.mk,3,FALSE,"Online"
"Austin",F,49,hedupe@zofivli.nu,4,FALSE,"Online"
"New York",F,52,ejekozu@zepi.ck,5,FALSE,"Online"
"Seattle",F,57,ob@fejeva.id,1,FALSE,"Online"
"Seattle",M,31,rijena@emolo.so,4,FALSE,"In store"
"Denver",F,24,le@fednijo.gh,2,FALSE,"In store"
"London",M,29,setir@armari.cv,3,FALSE,"Online"
"London",M,22,jav@tivecwak.ua,5,TRUE,"In store"
"London",M,31,nalec@jiwvozil.at,4,TRUE,"Online"
"Denver",F,18,jurco@sep.bt,3,FALSE,"In store"
"Austin",M,54,commijkel@wac.bw,3,FALSE,"In store"
"Austin",M,50,asba@co.ae,3,FALSE,"Online"
"Denver",F,46,veka@me.mw,4,FALSE,"In store"
"Austin",F,65,gihsasozu@uw.az,4,FALSE,"In store"
"Seattle",F,48,pebhag@hoj.gg,3,FALSE,"In store"
"Denver",F,64,viszo@naeptir.ir,5,TRUE,"Online"
"Denver",M,32,olwitaz@cijsodni.pm,4,FALSE,"In store"
"New York",F,25,nekih@hid.pa,5,FALSE,"Phone"
"Denver",M,27,kalpi@hevireke.ae,5,FALSE,"Phone"
"Austin",M,56,riziv@osobahij.sz,4,FALSE,"Online"
"London",M,51,jemes@wuja.so,4,FALSE,"Online"
"Austin",M,29,mep@tal.mp,4,FALSE,"In store"
"Seattle",F,43,se@habro.ug,3,FALSE,"In store"
"Austin",F,45,uciunacu@kidobe.no,1,FALSE,"In store"
"Denver",F,72,lagumsu@omanef.hk,5,FALSE,"In store"
"Austin",F,25,vo@lel.gf,5,FALSE,"Online"
"Seattle",F,54,fodepdo@ewe.tc,5,TRUE,"Phone"
"London",M,20,amaavu@jof.dm,4,FALSE,"In store"
"London",M,63,vozafob@sid.yt,4,TRUE,"In store"
"Denver",M,35,ahvonjeb@ala.cn,3,FALSE,"Online"
"London",F,31,enah@ev.mn,5,FALSE,"Online"
